Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-04-12,75176.828125,75990.03900615986,75086.47136042669,75990.03900615986,12915282
2021-04-13,75899.6796875,76351.46349516368,74815.39854910714,74996.11207217262,15238206
2021-04-14,75899.6796875,76170.74997209822,75357.53911830357,75899.6796875,13794652
2021-04-15,75990.0390625,76351.46612106124,75357.54171001783,75628.61200393876,16377412
2021-04-16,75809.3359375,76532.19015382897,75538.26560637665,76532.19015382897,15429522
2021-04-19,75267.1953125,75899.69275210085,75267.1953125,75718.97919792918,15287311
2021-04-20,75809.3359375,75899.69271454112,75086.48172117103,75267.19527525328,15521965
2021-04-21,74634.6953125,75447.90627837469,74544.33853851391,75267.19273040254,21636079
2021-04-22,74453.9765625,74996.11716853762,74453.9765625,74905.76040086467,13934746
2021-04-23,74815.4296875,74905.7864866395,73731.14809782608,74002.21849524457,17805080
2021-04-26,75447.890625,75447.890625,74634.67982784432,74905.75009356288,15489938
2021-04-27,74905.7578125,75267.18487070265,74544.33075429735,75176.828106152,12941533
2021-04-28,74182.90625,75176.83069427527,74182.90625,75176.83069427527,15596759
2021-04-29,73821.4921875,74544.34645616585,73640.77862033354,74453.98967258263,20000973
2021-04-30,73640.7734375,74182.91410084355,73640.7734375,74002.2005463957,18673197
2021-05-03,73821.4921875,74453.98967258263,73188.99470241739,73188.99470241739,15710336
2021-05-04,74634.6953125,74634.6953125,73911.84112061138,74002.19789459746,12532550
2021-05-06,74363.6171875,74363.6171875,73821.47660047084,73821.47660047084,17047511
2021-05-07,74002.2109375,74182.92451732296,73640.78377785409,73911.85414758851,14154882
2021-05-10,75176.828125,75447.89841871995,73911.83342097356,74363.61724384014,19385027
2021-05-11,73369.71875,74634.71390086207,73279.36195350986,74544.35710437193,28996680
2021-05-12,72285.4140625,73369.6952734375,72104.70052734375,73008.268203125,35812268
2021-05-13,70930.0625,71923.98694267515,70839.70573248407,71291.4895700637,31490096
2021-05-14,72375.765625,72556.4791471598,71291.4844920412,71381.8412531211,16450920
2021-05-17,71923.984375,73098.62231077261,71562.5573178392,73008.26554648242,17740855
2021-05-18,71923.984375,72285.4114321608,71472.200553549,71923.984375,17494407
2021-05-20,71833.625,72014.33852201258,71472.19795597484,71743.26823899371,16541828
2021-05-21,72375.765625,73640.7602801186,72104.6953417603,72375.765625,20961714
