Actual_Return,Predicted_Return
3.937944,-0.24998486
4.0062275,-0.27346554
4.112672,-0.09900865
4.229967,-0.47142634
4.325672,-0.2121324
4.3702307,0.5203301
4.3716025,2.1179237
4.452703,3.8011382
4.6135116,2.0524464
4.807331,1.7370043
5.0178084,1.8352227
5.276548,1.3529549
5.598037,0.70181024
5.882445,-0.546142
6.1575136,-0.9232651
6.4140997,-1.9492126
6.6738825,-2.6822135
6.9464593,-2.8071218
7.2648473,-3.611979
7.5622735,-4.2259107
7.843166,-4.020058
8.119508,-3.034983
8.411387,-2.692158
8.662348,-3.0894666
8.875037,-2.9037936
9.017821,-2.5560613
9.148214,-1.8294003
9.388019,-0.5875877
9.6959505,-1.3805926
10.015483,-1.4551015
10.286047,-0.43098918
10.582571,1.3902848
10.91178,1.467978
11.227254,1.7755119
11.613649,2.37531
11.979157,2.4191105
12.337424,3.0869014
12.705848,2.0287747
13.004856,3.2333345
13.2634535,3.412442
13.52545,5.0839753
13.753031,4.993306
13.843661,5.716779
13.945188,6.1799164
14.108892,6.5148354
14.265238,6.237248
14.332127,6.3953023
14.335132,6.9124026
14.357802,6.8831687
14.2852745,6.798369
14.312746,6.920772
14.252458,6.168383
14.24722,6.845881
14.208049,6.6463146
14.227127,6.847959
14.199217,6.7812862
14.248028,6.8358436
14.283944,5.933583
14.4185,6.1553216
14.558584,4.980451
14.632462,3.4766736
14.701462,5.078621
14.727054,5.3835754
14.808329,5.2714705
14.910597,5.1736383
15.066809,4.6365333
15.205737,4.091189
15.261857,4.7079797
15.243571,5.2644496
15.202429,6.1547065
15.149854,6.311245
15.082666,6.3499427
15.014392,6.761626
14.945496,6.719191
14.887659,6.70018
14.843617,6.223058
14.786356,5.9589276
14.723988,6.0211787
14.570066,5.739436
14.405167,6.3756638
14.219411,6.652651
13.995694,6.9564815
13.754904,6.887132
13.60455,7.00909
13.57078,6.374218
13.614665,3.8175154
13.654084,2.502937
13.562864,2.7692373
13.340165,5.160497
13.062636,6.538142
12.832663,7.0462723
12.607659,7.042352
12.258958,7.1253076
11.929537,7.4153256
11.496514,7.4155183
11.074838,7.5262704
10.784634,7.5357437
10.47622,7.213157
10.249391,7.3917866
9.973663,7.151244
9.696243,7.3335357
9.428762,7.2503123
9.269372,7.1247344
9.104306,5.40008
8.825199,5.935282
8.439318,6.8260593
8.1465845,7.2948003
7.9640317,7.255919
7.7407517,6.4240994
7.6562552,6.8793507
7.5358233,4.0934906
7.529958,4.820016
7.427261,2.8056679
7.3774347,3.8509257
7.279626,2.3723876
7.1186533,3.6065443
6.902008,4.660539
6.7096524,5.035848
6.411356,4.2701583
6.1746907,5.8437324
5.971571,3.9650314
5.7744017,3.8043869
5.6113825,4.138733
5.369498,3.0568838
5.152469,5.043098
4.918231,4.2390666
4.743194,4.649029
4.6522512,3.9449725
4.598912,3.0681674
4.5489597,3.1327069
4.526216,2.5306053
4.472443,2.3520496
4.3690405,3.9235961
4.3049326,4.904534
4.2362328,3.6189573
4.1681275,3.3066075
4.145311,3.1690376
4.114511,2.3408751
4.163723,2.4161303
4.1972895,0.49152052
4.257487,0.82454085
4.4126697,1.0565567
4.5775094,-0.63119364
4.6508527,-0.15123078
4.6697097,2.1960585
4.692755,3.7103121
4.7467914,2.7609847
4.857425,2.8272963
5.059262,2.5761263
5.2775216,1.6978549
5.5010242,1.8140147
5.725773,1.7437705
6.02636,3.6366098
6.373273,3.613009
6.7000923,2.8857386
7.0519443,3.52653
7.390068,2.8352702
7.7221727,3.2794561
8.007408,4.494814
8.418274,4.9964595
8.800333,3.1971707
9.286841,2.8137054
9.622571,1.5969912
9.933314,0.9828173
10.357258,0.56998646
10.836009,-0.82275736
11.182517,-1.6156327
11.435603,0.25450417
11.711005,2.7614918
11.932439,2.9491184
12.1338215,2.6539986
12.269747,3.1865032
12.492266,4.1016107
12.71345,1.8861086
12.950061,2.3804305
13.250011,2.304239
13.621325,1.5363703
13.9849825,1.5987221
14.4572525,1.4457152
14.852024,1.0298347
15.200996,1.658169
15.513496,1.7058246
15.806731,3.5981672
16.13915,3.6239142
16.431929,3.8621824
16.718803,3.9253817
16.954632,4.3627973
