Actual,Predicted
4139.2,2790.3374
4165.2,2793.3323
4218.3,2796.7505
4239.3,2799.3926
4186.6,2802.3267
4199.3,2805.2383
4211.8,2807.842
4212.9,2810.0928
4187.2,2811.9294
4206.7,2813.649
4196.4,2815.5623
4285.5,2817.3523
4300.1,2818.8547
4306.7,2819.6821
4304.5,2820.6863
4347.5,2822.4338
4339.5,2824.5525
4361.4,2825.9468
4444.6,2827.2102
4482.8,2828.7532
4480.6,2830.6643
4529.1,2832.6443
4325.1,2834.7407
4370.1,2836.3599
4325.6,2838.21
4314.4,2840.5483
4436.9,2842.9705
4482.2,2845.8054
4449.3,2847.5166
4449.7,2849.2783
4490.3,2851.9868
4604.3,2854.7297
4589.2,2857.5476
4626.3,2860.9111
4616.3,2863.3242
4588.4,2866.5508
4759.6,2867.713
4831.8,2868.3762
4908.8,2869.465
4976.2,2870.3755
5079.7,2870.337
5079.9,2869.964
5301.6,2869.673
5318.4,2869.5088
4713.9,2869.2202
4622.5,2869.0918
4903.7,2868.6233
4920.4,2868.4492
4861.4,2868.3127
4951.2,2868.3833
5050.9,2869.3335
5003.8,2870.2844
5071.6,2871.9373
4923.7,2873.4243
5022.0,2874.184
4882.9,2874.7327
4986.5,2875.156
4975.9,2875.63
5059.3,2875.922
5204.7,2876.3298
5155.8,2876.8179
5206.4,2877.5828
5176.5,2878.481
5230.5,2879.7107
5294.4004,2881.014
5107.4,2881.93
5120.2,2882.864
5065.3,2883.7979
5146.1,2884.6758
5091.5,2885.3396
5229.7,2886.0515
5167.4,2886.6414
5115.8,2887.7014
5052.5,2888.8186
4994.0,2889.9348
5001.0,2890.9624
4889.9,2892.1382
4600.7,2893.2278
4570.4,2894.38
4404.1,2895.8735
4335.5,2897.4504
